row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,4215,100 0,1721,100 0,804,100 0,324,100 0,1366,100 0
1-9,738,17 5,427,24 8,80,10 0,43,13 3,188,13 8
10-19,758,18 0,377,21 9,103,12 8,51,15 7,227,16 6
20-29,555,13 2,226,13 1,117,14 6,35,10 8,177,13 0
30-39,376,89,138,80,85,10 6,11,34,142,10 4
40-49,233,55,97,56,51,63,11,34,74,54
50-59,203,48,64,37,36,45,23,71,80,59
60-69,157,37,56,33,30,37,14,43,57,42
70-79,117,28,40,23,29,36,10,31,38,28
80-89,110,26,40,23,20,25,6,19,44,32
90-99,81,19,19,11,19,24,7,22,36,26
100-149,288,68,80,46,65,81,30,93,113,83
150-199,131,31,39,23,32,40,16,49,44,32
200-299,140,33,32,19,30,37,20,62,58,42
300-399,111,26,31,18,33,41,15,46,32,23
400-499,5,13,15,9,17,21,7,22,14,10
500-599,31,8,6,4,9,11,7,22,9,7
00-799,45,11,15,9,14,17,5,15,11,8
800-999,20,5,2,i,10,12,2,6,6,4
"1,000-1,999",41,1 0,11,6,15,19,3,9,12,9
"2,000-2,999",15,4,3,2,5,6,4,12,3,2
"3,000-3,999",2,(1),o,o,2,3,o,0,o,o
"4,000-4,999",2,(0,o,o,i,i,i,3,o,o
"5,000-9,999",5,i,2,i,0,o,2,.6,i,i
"10,000 and over",3,i,1,1,t,.1,1,.3,0,.o
