row_label,col_1,col_2
American Woolen Company,32,1
"Ammo Metal, Incorporated",28,167
Androscoggin Mills,28,75
Angelica Jacket Company,29,131
Ansley Radio Corporation,28,121
Aponaug Manufacturing Company,27,40
Archer-Daniels Midland Company,27,210
Arizona Chemical Company,32,121
Arlington Mills,31,6
Arlington Mills,31,6
"Armbruster, W. C., d/b/a R. H. Armbruster Manufacturing Co",30,64
"Armour and Company, Armour Wholesale Market, Chicago, Ill",25,27
"Armour and Company, Bloomer, Wis. Plant",25,82
"Armour and Company, Bloomer, Wis. Plant",32,85
"Armour and Company, North Bergen, N. J",26,107
"Armstrong Cork Co., Whitall-Tatum Division at Millville, N. J",28,146
"Armstrong Cork Co., Whitall-Tatum Division at Millville, N. J",28,146
Asheville Cotton Mills,30,6
"Association of Motion Picture Producers, Inc",27,8
Atlas Tool & Manufacturing Company,27,41
Atlas Underwear Company,30,89
B. V. D. Corporation,28,120
"Baby Line Furniture Company, and The Automatic Tension Screen Company",25,91 85
"Baltimore Brick Company Baltimore Insular Line, Inc",25 27,91
"Bazzini Co., Inc., A. L.",28,86
Bebry Bedding Corporation,27,77
"Belanger, Jerry and Edythe, d/b/a Aluminum Alloy Casting Co",32,183 78
Belmont Radio Corporation,27,52
Bendix Aviation Corporation,32,
Benolite Corporation,26,87 143
"Bethlehem Steel Corporation, Lackawanna, N. Y.",30,
"Bethlehem Steel Company, Sparrows Point Division",32,176
Big Lakes Box Company,31 32,41 20
Birdsboro Steel Foundry & Machine Co Birmingham Boiler & Engineering Company,31,129
Bison Steamship Company,,110
"Black & Sons Co., Joseph",27,
Bliss Properties,32 30,2
Bloedel-Donovan Lumber Mills,30,148 173
"Boland, John J. and John J. Boland, Jr",27,110
"Borden Mills, Inc",,128
"Borg Corporation, The George W.,",31 25,58
"Borg Warner Corporation, Ingersoll Steel & Disc Division, New Castle, Ind., Plant",28,163
"Borg Warner Corporation, Ingersoll Steel & Disc Division, Chicago",31,99
Works Boston Iron & Metal Co Botany Worsted Mills,28,124 129
Brewster Aeronautical Corporation,27,
"Brightman Nut & Manufacturing Company, William, Frank, Ida &",31,130
"Lelia Senn, d/b/a",30 27,102
"Brooks Scanlon Lumber Company, Inc., Elmer Prater, Operator",31,59 46
Brown Company,,
Brown Company,31 31,46 46
Brown Company Buffalo Pipe & Foundry Corporation,,
"Bunte Brothers, a corp",26 30,88 22
"Burlington Mills Corp., Lexington Silk Mills Division",,65
,31,201
"Burton-Dixie Corporation, Kansas City, Mo",27,86
"Burton-Dixie Corporation, Memphis, Tenn",29,171
"Butler Motors, Inc",28,
California Cotton Oil Corporation,,73
Calmar Steamship Corporation,26 27,128
