Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,37192,100,25326,100,9082,100,1745,100,367,100,144,100,57,100,471,100
Agreement of the parties,9232,24.8,6870,27.0,1416,15.6,744,42.6,35,24.3,8,,12,24.3,143,30.8
Informal settlement,9060,24.3,6747,26.6,1385,15.2,734,42.1,33,8.9,16,11.1,12,29.8,106,22.6
Formal settlement,172,0.5,123,0.4,31,0.3,10,0.5,,,3,2.1,,,5,1.0
Compliance,1053,2.8,896,3.6,106,1.2,31,1.8,8,2.2,1,0.7,1,1.8,14,2.9
