row_label,Type of formal action taken,Cases in which formal action taken,Total formal action taken,CA,CB,CC,CD,CE,CG,CP,CA combined with CB,CB combined with CC,Other C combined cases
10(b) issued — Complaints issued,4344,3331,3013,326,67,0,9,6,8,,,,
10(b) issued — Backpay specifications issued,166,,,,,,,,,,,,
"Hearings completed, total",922,635,535,67,9,15,0,1,0,,,,
"Decisions by administrative law judges, total",947,658,568,73,8,0,0,0,0,,,,
"Decisions and orders by the Board, total",1697,1002,861,73,11,34,0,0,3,,12,,42
Contested — Initial ULP decisions,1135,568,525,49,1,34,0,0,3,,17,0,28
