row_label,col_1,col_2
"There was available to the Board during the fiscal year 1937 the sum of $790,838 for salaries and other obligations. This amount was derived from the following sources :","There was available to the Board during the fiscal year 1937 the sum of $790,838 for salaries and other obligations. This amount was derived from the following sources :","There was available to the Board during the fiscal year 1937 the sum of $790,838 for salaries and other obligations. This amount was derived from the following sources :"
"Unobligated balance transferred from National Industrial Recovery, Labor, National Labor Relations Board 1933-37 Appropriations","Unobligated balance transferred from National Industrial Recovery, Labor, National Labor Relations Board 1933-37 Appropriations",40838
": Independent Offices Appropriation Act (49 Stat 1177) : Salaries and expenses $700, 000 Printing and binding 35,000",": Independent Offices Appropriation Act (49 Stat 1177) : Salaries and expenses $700, 000 Printing and binding 35,000",735000
"Salaries and Expenses (Third Deficiency Appropriation Act, Public, No. 354, 75th Cong","Salaries and Expenses (Third Deficiency Appropriation Act, Public, No. 354, 75th Cong",15000
Total,Total,790838
The expenditures,EXPENDITURES AND OBLIGATIONS and obligations for fiscal year,"June 30,"
"1937, are as follows : Salaries_","1937, are as follows : Salaries_",550671
Travel expense Communications Reporting,Travel expense Communications Reporting,"84,121 30,888"
Rentals,Rentals,35261
Furniture and equipment,Furniture and equipment,33562
,,7968
,,9020
Supplies and materials Special and miscellaneous,Supplies and materials Special and miscellaneous,1193
Transportation of things,Transportation of things,1531
Total salaries and expenses Printing and binding,Total salaries and expenses Printing and binding,"754,215 34,313"
,Grand total obligations,788528
Total,estimated surplus,2310
,Total available funds,790838
