row_label,col_1,col_2,col_3,col_4
,,,,'40E'F'OgS iigQg g0A
.--.,0.,0..,g m,"..-3,8.00"
.,,R,"g. ..og .CO 0,",..mmwo..
.,00,.0. .,....ral .,0.0.....
.,,,"bl ...,.. .",..m.....
.,,m,Cr ..om.o .,00000000
.,00,,000000 .,......o.
.,0.,8 .,. . 0 .0..EgR .0. .,0100.1000
.,_ 0.0.,,.r-..m otn-EH . .,"- gg :it.,,...... ,E"
o,.0,"..,","10010 o&gcn& --' c, cn",.-.i.30vw-aw
o,ocD,"w a,","_ .11tE 0,,.. -.1",g..0.Rmmt
,,,".m.1,.... o",co .0.E00K.
.,,,"-0, . 0.0m..",.0...m...or-1
.,00,F2,. .o.... o,.o...o..
0,o0,. m,m . 000Ko o,0000....
.,00,3,". _ 0,11ff,,§ E",". . EctE2g""w"
.,0.,,".0. . m . . M'D' 0',7,,. . -0 n","... 05:-..lsr,50N"
