row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"All cases - Pending July 1, 1969",9992,4459,1215,489,436,2230,1163
All cases - Received fiscal 1970,33581,11729,16158,1656,1246,9709,4566
All cases - On docket fiscal 1970,43673,15188,5890,2145,1682,11939,5729
All cases - Closed fiscal 1970,32353,11584,4637,1587,1102,9077,4366
"All cases - Pending June 30, 1970",11220,4604,1253,558,580,2862,1363
"Unfair labor practice cases - Pending July 1, 1969",7089,2894,629,312,247,2042,965
Unfair labor practice cases - Received fiscal 1970,21038,5916,1670,734,446,8759,3613
Unfair labor practice cases - On docket fiscal 1970,28127,8810,2299,1046,693,10801,4478
Unfair labor practice cases - Closed fiscal 1970,19851,5615,1639,705,456,8120,3316
"Unfair labor practice cases - Pending June 30, 1970",8276,3195,660,341,237,2681,1162
"Representation cases - Pending July 1, 1969",2781,1519,553,172,180,145,182
Representation cases - Received fiscal 1970,12077,5661,2984,890,777,786,979
Representation cases - On docket fiscal 1970,14858,7180,3567,1062,957,931,1161
Representation cases - Closed fiscal 1970,12000,5801,2977,849,615,785,973
"Representation cases - Pending June 30, 1970",2858,1379,590,213,342,146,188
"Union-shop deauthorization cases - Pending July 1, 1969",40,,,,,40,
Union-shop deauthorization cases - Received fiscal 1970,158,,,,,158,
Union-shop deauthorization cases - On docket fiscal 1970,198,,,,,198,
Union-shop deauthorization cases - Closed fiscal 1970,165,,,,,165,
"Union-shop deauthorization cases - Pending June 30, 1970",33,,,,,33,
"Amendment of certification cases - Pending July 1, 1969",18,8,1,,5,1,3
Amendment of certification cases - Received fiscal 1970,107,56,6,10,14,2,19
Amendment of certification cases - On docket fiscal 1970,125,64,6,11,19,3,22
Amendment of certification cases - Closed fiscal 1970,116,60,6,9,19,2,20
"Amendment of certification cases - Pending June 30, 1970",9,4,,2,,1,2
"Unit clarification cases - Pending July 1, 1969",64,38,3,4,4,2,13
Unit clarification cases - Received fiscal 1970,201,96,15,22,9,6,53
Unit clarification cases - On docket fiscal 1970,265,134,18,26,13,8,66
Unit clarification cases - Closed fiscal 1970,221,108,15,22,12,5,57
"Unit clarification cases - Pending June 30, 1970",44,26,3,15,5,2,11
