Division and State,Number of cases received in 1943 / All cases,Number of cases received in 1943 / Unfair labor practice cases / Number,Number of cases received in 1943 / Unfair labor practice cases / Percent of total,Number of cases received in 1943 / Representation cases / Number,Number of cases received in 1943 / Representation cases / Percent of total,Percent increase or decrease compared with 1942 / Unfair labor practice cases,Percent increase or decrease compared with 1942 / Representation cases
New England,697,241,7.0,456,7.3,-16.0,-3.0
Middle Atlantic,2258,795,23.4,1463,23.4,-36.0,+1.6
East North Central,2781,922,27.0,1859,29.9,-30.7,+5.9
West North Central,821,287,8.4,534,8.6,-37.7,-1.1
South Atlantic,854,379,11.2,475,7.7,-18.8,-3.8
East South Central,483,176,5.2,307,4.9,-13.7,+39.5
West South Central,433,177,5.2,256,4.1,-20.6,-28.5
