Status of cases,Total,AFL-CIO Unions,Other National Unions,Other Local Unions,Individuals,Employers
"All cases — Pending October 1, 1997",37594,22068,1171,1776,11007,1572
All cases — Received fiscal 1998,36657,20428,747,1802,11989,1691
All cases — On docket fiscal 1998,74251,42496,1918,3578,22996,3263
All cases — Closed fiscal 1998,39587,22325,861,1693,12823,1885
"All cases — Pending September 30, 1998",34664,20171,1057,1885,10173,1378
"Unfair labor practice cases — Pending October 1, 1997",34958,20310,1091,1573,10595,1389
Unfair labor practice cases — Received fiscal 1998,30439,16024,601,1340,11038,1436
Unfair labor practice cases — On docket fiscal 1998,65397,36334,1692,2913,21633,2825
Unfair labor practice cases — Closed fiscal 1998,33287,17812,713,1243,11901,1618
"Unfair labor practice cases — Pending September 30, 1998",32110,18522,979,1670,9732,1207
"Representation cases — Pending October 1, 1997",2368,1669,78,189,352,80
Representation cases — Received fiscal 1998,5831,4243,140,424,849,175
Representation cases — On docket fiscal 1998,8199,5912,218,613,1201,255
Representation cases — Closed fiscal 1998,5915,4359,144,417,830,165
"Representation cases — Pending September 30, 1998",2284,1553,74,196,371,90
"Union-shop deauthorization cases — Pending October 1, 1997",60,,,,60,
Union-shop deauthorization cases — Received fiscal 1998,102,,,,102,
Union-shop deauthorization cases — On docket fiscal 1998,162,,,,162,
Union-shop deauthorization cases — Closed fiscal 1998,92,,,,92,
"Union-shop deauthorization cases — Pending September 30, 1998",70,,,,70,
"Amendment of certification cases — Pending October 1, 1997",10,4,0,3,0,3
Amendment of certification cases — Received fiscal 1998,12,7,1,3,0,1
Amendment of certification cases — On docket fiscal 1998,22,11,1,6,0,4
Amendment of certification cases — Closed fiscal 1998,12,7,1,3,0,1
"Amendment of certification cases — Pending September 30, 1998",10,4,0,3,0,3
"Unit clarification cases — Pending October 1, 1997",198,85,2,11,0,100
Unit clarification cases — Received fiscal 1998,273,154,5,35,0,79
Unit clarification cases — On docket fiscal 1998,471,239,7,46,0,179
Unit clarification cases — Closed fiscal 1998,281,147,3,30,0,101
"Unit clarification cases — Pending September 30, 1998",190,92,4,16,0,78
