Size of establishment (number of employees),Number of cases,Percent,Size of establishment (number of employees),Number of cases,Percent
1 to 19,9005,50.1,200 to 399,998,5.6
20 to 39,2649,14.8,400 to 699,476,2.7
40 to 59,1353,7.5,700 to 999,167,.9
60 to 79,846,4.7,"1,000 and over",272,1.5
80 to 99,642,3.6,,,
100 to 199,1550,8.6,Total,17958,100.0
