row_label,col_1,col_2
"21-00-157, 158_","Food processors, Packers, Warehousemen and Clerical Employees, Local 567_ (Spencer Food Co.). AFL-Longshoremen, Local 1422 (James Doran Co., et al.). United Mine Workers of America, District 50 and Local 12106 (Minnesota Linseed Oil Co.). AFL-Building & Construction Trades Council of Pittsburgh and Vicinity et al. (Perry Electric Co.). AFL-Teamsters, Local 442 (Wisco Hard- ware Co.). International Longshoremen's & Ware-","May 7, 1953"
11-00-4,,do
18-00-19 -,,"May 8,1953"
6-00-82,,"May 22,1953"
13-C C-75,,"May 28,1953"
38-CD-11,"housemen's Union, Local 12 (Upper","June 1,1953"
"3-00-31, 32____","Columbia River Towing Co., et al.). AFL-Teamsters, Local 182 and AFL- Carpenters, Local 125 (Jay-K Independ-","June 2,1953"
14-CC-47,"ent Lumber Corp.). AFL-Carpenters, Local 433, et al. (Markus Cabinet Manufacturing Co.).",do
7-00-20,"AFL-Teamsters, Locals 406_and 415 (S. E. Overton Co.).","June 18,1953"
1-C C-91,"AFL-Teamsters, Local 379 (Blanchard Lumber Co.).","June 19,1953"
13-00-77,"AFL-Teamsters, Local 200 (Lincoln Ware- house Co.).","June 22,1953"
3-CC-34,"AFL-Carpenters, Local 12 (Booher Lum- ber Co , Inc.).","July 31,1953"
"19-00-54, 55___","AFL-Carpenters, Lumber & Sawmill Workers, Local 2781 (Everett Plywood &","July 27,1953"
9-00-52,"Door Corp ). AFL-Electrical Workers, Local 1701 (Hartz & Kirkpatrick Constr. Co.).","July 1,1953"
2-CC-253,"AFL-Teamsters, Local 445 (Miron Bldg., Products Co ).","July 6,1953"
2-CC-255,"AFL-Bldg Service Employees, Local 32-E (Winarick, Inc. & Jerris Sales","July 24,1953"
18-00-37,"Co ). AFL-Plumbers, Local 106, et al. (Colum- bia-Southern Chemical Corp.).","July 16,1953"
36-CC-28,"AFL-Teamsters, Locals 911 and 508 (Lake- view Creamery Co.).","Aug. 4,1953"
18-00-60,"AFL-Pai_nters, Local 1730 (Painting & - Decorating Contractors of America).","Aug. 24,1953"
"13- -OD-31, 32___","AFL-Bridge, Structural Iron Workers, Machinery, Safe Movers and Riggers,","Aug 13,1953-"
39-00-8,"Local 136 (J. A. Ross & Co ). AFL-Teamsters, General Drivers, Ware- housemen & Helpers Local 968 (Great","Sept. 16,1953"
