row_label,col_1
,I 1 1
g,"..enen.n.nen•-•0•-,nen.n0e,10.-.00000"
i,Ig1111111111111111111
c o l,0.-.00000000000000000-.0
g,"71.g.1 r :""1 1 I I I II"
,". ......, - . . - enen0000.-.-"
g,"iT•,(2,• gg i9 i g 2 gqqgq i qq ?; 5 q"
8,i s Cn . 0 11 . - 0 as t ■ 0 .-1 nn en .-1 .-8 en e. 0 ... .-. on
g,"; ; ,1, 41 .,... , Ti ,T, ::1 !:: t' s . g . -: 2 . c1 fj :: j ' n el ZS 4"
a,"gg ,... - A 4 g g V; = v. zt, 1.- - 1.""""""*"" P. °'-"
P i.,"E.I.V.M.R&PEIREVi'AriEF,V.iii"
"I"" :1 P 1",. . fi g glmvga&I -5;g1f42R2P2t Sas:922222222828282828 AP.FIR$RSIRSIR82R*48RIAR
