row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
,,,,CA cases,,,
"Pending October 1, 1989","• 16,337",8106,1812,864,1071,4484,0
Received fiscal 1990,24075,12485,2691,747,1022,7130,0
On docket fiscal 1990.,40412,20591,4503,1611,2093,11614,0
Closed fiscal 1990,23156,11665,2661,720,1095,7015,0
"Pending September 30, 1990",17256,8926,1842,891,998,4599,0
,,,,CB cases,,,
"Pending October 1, 1989","*3,730",58,14,6,15,2707,930
Received fiscal 1990.,8157,88,18,7,27,6854,1163
On docket fiscal 1990 ..,11887,146,32,13,42,9561,2093
Closed fiscal 1990. .... . ..... ... ... ..,7966,86,22,8,21,6723,1106
"Pending September 30, 1990 . .. ....",3921,60,10,5,21,2838,987
,,,,CC cases,,,
"Pending October 1, 1989 .",*913,3,1,I,10,0,898
Received fiscal 1990,965,7,0,13,8,0,937
On docket fiscal 1990....,1878,10,1,14,18,0,1835
Closed fiscal 1990,949,10,0,12,12,0,915
"Pending September 30, 1990",929,0,1,2,6,0,920
"Pending October 1, 1989",118,3,0,0,0,0,115
Received fiscal 1990,297,13,1,1,5,0,277
On docket fiscal 1990,415,16,1,I,5,0,392
"Closed fiscal 1990 Pending September 30, 1990... ...",288 127,13 3,1 0,0 I,4 1,0 0,270 122
,,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October I, 1989",.60,1,0,0,3,0,56
Received fiscal 1990,44,4,0,0,3,1,36
On docket fiscal 1990,104,5,0,0,6,1,92
"Closed fiscal 1990 . . ... .. Pending September 30, 1990",62 42,3 2,0 0,0 0,4 2,I,54 38
Received fiscal 1990,,,,,,,
,41,,,CO cases 0,1,0,57
"Pending October I, 1989 ......",30,1,0,0,0,0,29
,30,1,0,0,1,0,28
On docket fiscal 1990,60,2,0,0,,0,38
"Closed fiscal 1990. Pending September 30, 1990",19,2 0,", 0 0",0,1 0,0 0,19
,,CP cases,,,,,
"Pending October 1, 1990",125,1,1,0,0,0,123
Received fiscal 1990.,265,1,,4,2,0,258
On docket fiscal 1990 Closed fiscal 1990.,390 294,2 1,0 I 1,4 4,2 0,0 0,381 288
"Pending September 30, 1990",96,1,0,0,2,0,93
