Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,11546,100.0,9925,100.0,939,100.0,682,100.0,95,100.0
Before issuance of notice of hearing,5919,51.3,4851,48.9,625,66.6,443,65.0,92,96.7
"After issuance of notice of hearing, before close of hearing",3412,29.6,3078,31.0,182,22.3,152,22.3,1,1.1
"After hearing closed, before issuance of regional director's decision",117,1.0,94,.9,18,1.9,5,.7,1,1.1
After issuance of regional director's decision,1937,16.8,1766,17.8,93,9.9,78,11.4,1,1.1
After issuance of Board decision,161,1.4,136,1.4,21,2.2,4,.6,0,.0
