Participating unions,Total elections,Total elections / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In election won by / AFL-CIO unions,Employees eligible to vote / In election won by / Teamsters,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Teamsters,Employees eligible to vote / In units won by / Other national unions,Elections in which no representative chosen
National v. Local v. Local,1,100.0,1,,,,1,0,115,,,,,115,0
Total representation elections,8923,53.6,4787,2662,1497,,,,"581,6",297127,157944,38410,28701,71473,294509
