Union affiliation,Elections participated in / Total,Elections participated in / Won,Elections participated in / Percent won,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Number,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,6380,3740,58 6,483964,286048,59 1,436723,90 2,280140,64 1
AFL-CIO,4504,2400,53 3,412188,178427,43 3,371734,90 2,183528,49 4
Unaffiliated,2522,1340,53 1,215481,107621,49 9,191841,89 0,96612,50 4
