Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
South Atlantic state,,,,,,,,,,,,,,,
South Atlantic (subtotal),3007,1756,1394,233,145,35,3,26,1243,1129,60,54,4,6,8
East South Central state,,,,,,,,,,,,,,,
East South Central (subtotal),1682,1031,830,119,43,27,0,12,600,575,33,22,6,7,8
West South Central state,,,,,,,,,,,,,,,
West South Central (subtotal),2265,1377,917,245,121,52,2,30,823,704,57,68,8,9,29
Mountain state,,,,,,,,,,,,,,,
Mountain (subtotal),1482,846,582,134,86,20,0,24,617,477,80,60,2,6,11
Pacific state,,,,,,,,,,,,,,,
Pacific (subtotal),4944,2890,1731,653,312,79,18,97,1950,1629,292,135,44,13,37
Puerto Rico,587,264,208,39,12,3,1,1,315,304,5,0,,,
Outlying Areas,631,290,224,50,,,,2,336,318,12,0,,,
"Total, all States and areas",30705,17816,11892,3557,1355,478,78,416,12307,10449,1091,767,152,194,236
