Participating unions,Total valid votes cast,Won — Votes for unions — Total,Won — AFL-CIO unions,Won — Teamsters,Won — Other national unions,Won — Other local unions,Total votes for no union (in won),Lost — Votes for unions — Total,Lost — AFL-CIO unions,Lost — Teamsters,Lost — Other national unions,Lost — Other local unions,Total votes for no union (in lost)
Section C RM — Total RM elections,2290,1018,488,200,5,347,298,239,110,91,0,49,735
Section D RD — AFL-CIO (1-union),19210,5341,5341,,,,5790,3443,3443,,,,7446
Section D RD — Teamsters (1-union),4907,1624,,1624,,,0,671,,671,,,1842
Section D RD — 1-union elections subtotal,25640,7501,5341,1624,0,536,4186,4281,3443,671,26,141,9672
Section D RD — 2-union elections subtotal,700,575,477,52,0,46,0,18,2,0,0,,76
Section D RD — Total RD elections,26540,8076,5818,1676,0,582,4235,4303,3465,671,26,141,9726
