row_label,col_1,col_2,col_3,col_4
Cases decided by U.S courts of appeals,83,100 0,1056,100
Board orders enforced in full,46,554,1109,598
Board orders enforced with modification,13,157,363,196
Remanded to Board,6,72,48,2 6.
Board orders partially enforced and partially remanded_,' 1,12,14,.8
Board orders set aside,17,20 5,322,17.3
Cases decided by U S. Supreme Court,4,100 0,118,1000'
Board orders enforced mfull,2,500,80,678
Board orders enforced with modification,0,0,11,93
Board orders set aside,2,500,16,136
Remanded to Board,0,0,2,1.7
Remanded to court of appeals,0,0,7,59'
