Subsections of Sec. 8 (b) (4) of LMRA,Number,Percent
Total,311,100.0
8 (b) (4) (A),162,52.1
8 (b) (4) (B),13,4.2
8 (b) (4) (C),3,1.0
8 (b) (4) (D),68,21.9
8 (b) (4) (A) (B),46,14.8
8 (b) (4) (A) (C),1,.3
8 (b) (4) (A) (D),2,.6
8 (b) (4) (B) (C),2,.6
8 (b) (4) (D) (C),1,0.3
8 (b) (4) (A) (B) (C),13,4.2
8 (b) (4) (A),224,72.0
8 (b) (4) (B),74,23.8
8 (b) (4) (C),20,6.4
8 (b) (4) (D),71,22.8
