row_label,col_1,col_2,col_3
Hearings completed...........................................................................,55,0,40
Decisions issued after hearing...........................................................,,,
By Regional Directors..................................................................,80,3,61
By Board......................................................................................,1,0,1
Transferred by Regional Directors for initial decision............,0,0,0
Review of Regional Directors' decisions:...............................,,,
Requests for review received..............................................,25,0,19
Withdrawn before request ruled upon................................,0,0,0
"Board action on requests ruled upon, total..........................",39,1,30
Granted ........................................................................,8,0,7
Denied............................................................................,29,1,21
Remanded.......................................................................,2,0,2
"Withdrawn after request granted, before Board review......",0,0,0
"Board decision after review, total.......................................",1,0,1
Regional Directors' decisions:.......................................,,,
Affirmed....................................................................,1,0,1
Modified....................................................................,0,0,0
Reversed....................................................................,0,0,0
