Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization Number,Number of polls / Resulting in deauthorization Percent of total,Number of polls / Resulting in continued authorization Number,Number of polls / Resulting in continued authorization Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization Number,Employees involved (number eligible to vote) / Resulting in deauthorization Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization Number,Employees involved (number eligible to vote) / Resulting in continued authorization Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Cast for deauthorization / Number,Cast for deauthorization / Percent of total eligible
Total,45,32,71.1,13,28.9,3886,2790,71.8,1096,28.2,2902,74.7,2050,52.8
AFL-CIO,25,18,72.0,7,28.0,3385,2525,74.6,860,25.4,2533,74.8,1809,53.4
Unaffiliated,20,14,70.0,6,30.0,501,265,52.9,236,47.1,369,73.7,241,65.3
