Participating union,Elections in which union participated / Number,Elections in which union participated / Number of eligible voters,Elections in which union participated / Number of valid votes cast,Elections won by union / Number,Elections won by union / Percent of elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total,Percent of eligibles voting
A. F. of L.,2270,490028,406034,1522,67.0,206605,50.9,82.9
C. I. O.,2284,999922,824442,1723,75.4,560815,68.0,82.5
Unaffiliated,678,338195,283702,391,57.7,127834,45.1,83.9
