Method and stage of disposition,All C: Number,All C: Percent of total closed,All C: Percent of total method,CA: Number,CA: Percent of total closed,CB: Number,CB: Percent of total closed,CC: Number,CC: Percent of total closed,CD: Number,CD: Percent of total closed,CE: Number,CE: Percent of total closed,CP: Number,CP: Percent of total closed
Circuit court of appeals decree,420,1.6,38.7,316,1.9,62,1.0,32,1.6,3,,2,2.5,5,1.1
Supreme Court action,40,0.1,3.7,37,0.2,2,,,,,,,,,
Withdrawal,9018,35.3,100.0,5892,35.8,2170,37.8,679,35.2,0,,27,34.2,165,37.0
Before issuance of complaint,8799,34.4,97.5,5845,34.9,2120,37.1,635,32.9,(1),,27,34.2,161,36.1
"After issuance of complaint, before opening of hearing",195,0.8,2.2,114,0.7,34,0.5,43,2.2,,,,,4,0.9
"After hearing opened, before trial examiner's decision",26,0.1,0.3,18,0.1,6,0.1,,,,,,,2,0.4
"After trial examiner's decision, before Board decision",3,,,,,,,,,,,,,,
After Board or court decision,5,,,,,,,,,,,,,,
Dismissal,8755,34.3,100.0,5894,35.2,2427,42.2,286,14.8,3,0.5,30,37.9,115,25.8
Before issuance of complaint,8375,32.8,95.7,5690,33.4,2373,41.3,260,14.5,(1),,20,25.3,110,24.7
"After issuance of complaint, before trial examiner's decision",31,0.1,0.4,24,0.1,5,0.1,,,,,,,,
By trial examiner's decision (Adopting trial examiner's decision; no exceptions filed),5,,0.1,4,,1,,,,,,,,,
By Board decision,296,1.2,3.4,229,1.3,43,0.7,,,,,,,5,11.3
By circuit court of appeals decree,41,0.2,0.5,31,0.2,8,0.1,,,,,,,,
By Supreme Court action,5,,0.1,4,,1,,,,,,,,,
10(k) notices (see table 7A for details of disposition),598,2.3,100.0,,,,,,,598,94.9,,,,
Otherwise (compliance with order of trial examiner or Board not achieved -- firm went out of business),18,0.1,100.0,17,0.1,1,,,,,,,,,
