row_label,Count
Total Board decisions,2685
Contested decisions,1678
Unfair labor practice decisions,1033
Initial (includes those based on stipulated record),927
Supplemental decisions,8
Backpay,39
Determinations in jurisdictional disputes,59
Representation decisions,637
After transfer by regional directors for initial decision,122
After review of regional director decisions,112
Decisions on objections and/or challenges,403
Other decisions,8
Clarification of bargaining unit,4
Amendment to certification decisions,3
Union-deauthorization decisions,1
Noncontested decisions,1007
Unfair labor practice decisions,441
Representation decisions,563
Other decisions,3
