Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, inactive, pending, etc."
Under sec. 10(j)(a) Against unions,4,4,0,1 settled.
Under sec. 10(j)(b) Against employers,1,0,1,0
Under sec. 10(l),129,50,10,31 settled; 33 alleged illegal activity suspended; 1 withdrawn; 1 dismissed without prejudice; 9 pending.
Total,134,54,11,76
