Industrial group,Number of polls,Winner — A.F. of L. affiliates,Winner — C.I.O. affiliates,Winner — Unaffiliated unions,Winner — No union,Eligible voters,Valid votes cast
Total,5964,2012,1976,721,205,1623375,1335683
Manufacturing,4264,1906,1730,519,109,1502050,1234135
Ordnance and accessories,4,3,1,0,0,285,263
Food and kindred products,537,398,99,19,21,39502,32943
Tobacco manufactures,12,0,8,3,1,3034,2614
Textile-mill products,139,27,79,32,1,19543,16601
Lumber and wood products,162,53,85,21,3,55735,49930
Furniture and fixtures,137,75,38,21,3,14678,12909
Paper and allied products,82,62,13,1,6,8909,8653
"Printing, publishing, and allied industries",190,119,55,10,3,9617,7943
Chemicals and allied products,170,102,42,20,5,16896,13605
Products of petroleum and coal,28,17,15,3,3,3966,3355
Rubber products,55,8,41,4,2,56326,42117
Leather and leather products,81,41,22,16,2,11107,9999
"Stone, clay, and glass products",152,93,34,21,4,11353,9720
Primary metal industries,430,98,287,34,11,505851,454376
Fabricated metal products except transportation equipment,539,187,267,68,17,117292,97967
Machinery (except electrical),545,140,284,110,11,138568,116547
"Electrical machinery, equipment, and supplies",235,97,92,38,8,114029,95398
Transportation equipment,251,64,132,47,8,228616,182382
Mining,89,12,69,3,5,25738,21096
Construction,42,36,2,4,0,2658,2248
Wholesale trade,207,158,23,16,10,14271,12257
Retail trade,448,297,65,38,48,28449,24309
"Finance, insurance, and real estate",28,27,0,0,1,3062,2980
"Transportation, communication, and other public utilities",547,393,40,88,26,37413,30240
Services,139,93,11,29,6,9734,8318
