row_label,Division and State,Total elections,Number won by unions Total,Number won by AFL-CIO,Number won by Teamsters,Number won by Other national,Number won by Other local,Number in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions Total,Valid votes for AFL-CIO,Valid votes for Teamsters,Valid votes for Other national,Valid votes for Other local,Valid votes for no union,Eligible employees in elections choosing representation
South Atlantic,941,525,353,135,35,7,416,90810,83124,42050,34083,4703,3353,,771,40174,47739
SA state,,,,,,,,,,,,,,,,,
East South Central,535,327,202,93,30,4,208,53706,49795,30819,21488,4075,2332,208,21477,32083,
West South Central,764,481,355,108,13,5,283,56452,51924,30408,24201,3646,2231,330,21516,35177,
WSC state,,,,,,,,,,,,,,,,,
Mountain,321,199,128,57,10,4,122,14185,12680,6800,4561,1420,450,529,5789,7048,
Pacific,1182,739,428,214,73,16,433,49276,45604,26098,17775,5000,2550,778,17686,26861,
Pacific state,,,,,,,,,,,,,,,,,
Outlying Areas,127,81,52,24,1,4,46,10228,8710,5553,3412,385,165,1653,5834,,
