Industrial group,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Agriculture and forestry,7,0.2,567,0.1,3,42.9,3,42.9,0,0,1,14.2
Mining,204,4.9,29731,2.6,27,13.2,121,59.3,18,8.8,38,14.2
"Transportation, communication, and other public utilities",358,8.6,50453,4.5,185,52.0,87,24.4,46,12.9,38,10.7
