row_label,col_1,col_2,col_3,col_4,col_5,col_6
"gg ,aa ff is 11161gF .",60.1,72.,woo° ..,"g r"".",oo,o § qi
,PIAV,'i,"*W C""' """,1 a R A,R,"i ,, .."
,COO,0,ALICCOO,pi $0,%,W
,000,0,0g0000,g,oo 0,.I. -
,. Q .,o,020000,. 1 . s0,oo o,as * a
,mor - v,vJ w,...m oo° 3g4,", c, R",or r,Q -
,"""2",6,M . °°°,§ N,r g,i .ir
,...-* L9 g N,ro c. M,n coo $ i NW. M,Ft Qen,1,",,, g."
,E $' .,R .;,"I g .k""° -m",vi §,g V,it. g
,"."" "" 4",'J2,geA000,g .....,N,",!'3"
,000,0,N...0000,M 00,0,W
,000,o,000000,o oo,o,
,000,en,N.-.N000,W 00,0,
,..0.-.,7.,VV2000,g oo,o,g
,-0-,,.000,g oo,o,
,WNen,2,7- 1; `-9. ft ° ° °,ft --,N,§
,Ill DZ,i i .,"a , A 3 I'",it rs. a gi =- E k>,1 1 E - a,•1 1 i ''. 1 E.
