Industrial Group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
Finance and Insurance,131,118,100,17,1,0,0,0,0,9,4,1,4,1,0,3
Real Estate and Rental and Leasing,202,184,120,51,8,1,0,1,3,17,14,1,2,0,0,1
"Professional, Scientific and Technical Services",336,259,212,43,4,0,0,0,0,71,58,1,12,3,0,3
Administrative and Support Services,1329,1121,814,295,7,3,0,0,2,202,181,2,19,2,2,2
Hospitals,1570,1284,1058,221,6,1,0,17,1,248,203,4,41,4,5,29
Nursing and Residential Care Facilities,1482,1124,966,142,3,0,0,10,3,317,239,11,67,12,2,27
Health Care and Social Assistance (broader category),3744,2933,2456,434,7,0,1,34,1,721,573,20,128,20,7,63
