Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"10-CC-213-215, 219-240, 263-264","AFL-Hod Carriers, Local 386, et al. (T. L. Herbert & Sons)","June 19, 1956",10 (l),,,"July 12, 1956 (consent)",,"May 8, 1957","Oct. 25, 1956"
2-CD-125,"Longshoremen's Association, Locals 1976-4, 1277, 1804 (Abraham Kaplan, Associated Painting Employers of Brooklyn, Inc)","June 25, 1956",10 (l),,,"Apr. 25, 1957",,"Aug. 29, 1956 (appeal from district court denial of injunction)",
1-CC-148,"AFL-Teamsters, Local 340 (Maine Canned Foods, Inc)","June 25, 1956",10 (l),,,,,"Aug. 28, 1956",
Additional case rows present,,,,,,,,,
