row_label,Number of elections and cross checks,Elections and cross checks won by / A. F. of L. affiliates,Elections and cross checks won by / C. I. O. affiliates,Elections and cross checks won by / Unaffiliated unions,Elections and cross checks won by / No union,Valid votes cast for / A. F. of L. affiliates,Valid votes cast for / C. I. O. affiliates,Valid votes cast for / Unaffiliated union,Valid votes cast for / Against union
"Total, 1936-47",36969,12353,13837,3920,6859,,,1050267,1531301
1936,31,18,4,,9,,,1592,1410
1937,265,96,122,19,15,,,28440,21707
1938,1162,263,553,129,207,,,49481,61117
1939,746,282,260,52,172,,,16362,39158
1940,1192,396,407,138,251,,,64628,96439
1941,2568,926,901,210,441,181009,335419,73238,140012
1942,4212,1522,1722,391,676,206442,560815,127834,171946
1943,4153,1396,1766,416,573,267118,515271,140790,203323
1944,4712,1690,1800,503,729,196989,449528,182066,244011
1945,4919,1630,1898,560,841,215453,350295,140821,187189
1946,5589,2004,1938,484,1148,175322,263411,90874,168955
1947,6920,2196,2138,860,1726,206524,288381,124827,188742
"July 1-Aug. 21, 1947",510,160,130,64,156,17316,20928,7744,12174
