row_label,col_1,col_2
172,Thirty-first Annual Report of the National Labor Relations Board,Page
"Van Camp Sea Food Co (See Cannery Workers Union of the Pacific.) Vaughan Mfg. Co. (See Local 777, Teamsters.)","Van Camp Sea Food Co (See Cannery Workers Union of the Pacific.) Vaughan Mfg. Co. (See Local 777, Teamsters.)",
"Velio, Iacobucci. (See Philadelphia Moving Picture Machine Operators' Union, Local 307, IATSE.) Vila-Barr Co (See Teamsters Local 115) .","Velio, Iacobucci. (See Philadelphia Moving Picture Machine Operators' Union, Local 307, IATSE.) Vila-Barr Co (See Teamsters Local 115) .",
"Virginia-Carolina Freight Lines, 155 NLRB 447","Virginia-Carolina Freight Lines, 155 NLRB 447",44
"Virginia Pilot Assn, 159 NLRB No. 142","Virginia Pilot Assn, 159 NLRB No. 142",37
"Waldbaum. (See Local 378, Meatcutters ) Wanzer","Dairy Co., 154 NLRB 782",100
"Wellman-Lord Engineering. (See Roberts, H. B., Business Manager of Local 925, MOE.) Werman,","A., &Sons, 154 NLRB 1037",65
"Werstein's Uniform Shirt Co., 157 NLRB 856","Werstein's Uniform Shirt Co., 157 NLRB 856",85
"Western Meat Packers; N.L.R.B. v., 350 F. 2d 804 (C.A. 10)","Western Meat Packers; N.L.R.B. v., 350 F. 2d 804 (C.A. 10)",134
"Western Wirebound Box Co.; N.L.R.B. v., 356 F. 2d 88 (C.A 9)","Western Wirebound Box Co.; N.L.R.B. v., 356 F. 2d 88 (C.A 9)",142
Westinghouse Broadcasting Co. (See American Fed of TV &Radio Artists.),Westinghouse Broadcasting Co. (See American Fed of TV &Radio Artists.),
"Westinghouse Electric Corp., 156 NLRB 1080","Westinghouse Electric Corp., 156 NLRB 1080",91
"Weyerhaeuser Co., 155 NLRB 921","Weyerhaeuser Co., 155 NLRB 921",78
"White Front San Diego &White Front La Mesa, 159 NLRB No. 64","White Front San Diego &White Front La Mesa, 159 NLRB No. 64",52
"White Front San Francisco d/b/a/ White Front South San Francisco, 159 NLRB No. 63","White Front San Francisco d/b/a/ White Front South San Francisco, 159 NLRB No. 63",52
"Willhoite, Elmer E. (See Los Angeles Building &Construction Trades Council )","Willhoite, Elmer E. (See Los Angeles Building &Construction Trades Council )",
Wolfie's. (See Edir.),Wolfie's. (See Edir.),
"Wood, Wire &Metal Lathers, Intl. Union, Local 68 (State Lathing Co.), 153 NLRB 1189","Wood, Wire &Metal Lathers, Intl. Union, Local 68 (State Lathing Co.), 153 NLRB 1189",116
"Wood, Wire& Metal Lathers, Intl Union, Local 68 (Drywall Steel Erec- tors), 159 NLRB No. 115","Wood, Wire& Metal Lathers, Intl Union, Local 68 (Drywall Steel Erec- tors), 159 NLRB No. 115",116
"Wood, Wire &Metal Lathers, Intl. Union, Local 238 (Philip A Contreras), 156 NLRB 997","Wood, Wire &Metal Lathers, Intl. Union, Local 238 (Philip A Contreras), 156 NLRB 997",36
"Woonsocket, R I (See Metropolitan Life Insurance ) Worley, Earl C (See Hod Carriers' Building &General Laborers, Union, Local 652.)","Woonsocket, R I (See Metropolitan Life Insurance ) Worley, Earl C (See Hod Carriers' Building &General Laborers, Union, Local 652.)",
"Yale Mfg. Co., 157 NLRB 597","Yale Mfg. Co., 157 NLRB 597",58
