row_label,col_1,col_2,col_3,col_4
"Eligible voters, total Valid votes, total","778,724 674,412","335,628 291,257",187142,255954
RC cases; total,6612,,165494,217661
,,4172,808,1632
Eligible voters,746817,314934,180566,251317
Valid votes,647371,274063,159548,213760
"RMcases,4 total",153,98,27,28
Eligible voters,24529,16122,6403,2004
Valid votes,20507,13190,5789,1528
"RD cases,4 total",101,49,4,48
Eligible voters,7378,4572,173,2633
Valid votes,6534,4004,157,2373
