row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in continuing representation units
Mountain (regional total),142,71,64,3,4,71,10184,8964,4109,3614,196,299,4855,3811
Pacific (regional total),465,232,211,4,17,215,26383,21597,10615,9238,376,1001,10982,11885
Puerto Rico,58,40,9,0,31,18,8205,7848,4460,172,,4288,1221,1287
Virgin Islands,5,1,1,,,4,,,,,,,,
Outlying Areas (total),63,41,10,0,31,22,,,,,,,,
"Total, all States and area",2792,1320,1154,48,118,1472,194062,168681,79935,69525,3048,7362,88746,70815
