Industrial Group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Crop Production,19,15,13,2,0,0,0,0,0,4,4,0,0,0,0,0
"Agriculture, Forestry, Fishing, and Hunting (NAICS 11 subtotal)",58,45,38,7,0,0,0,0,0,13,13,0,0,0,0,0
"Mining, Quarrying, and Oil and Gas Extraction (NAICS 21 subtotal)",227,186,158,24,1,0,0,0,0,33,33,0,0,0,1,5
Utilities (NAICS 22),475,375,294,78,2,0,0,0,0,90,78,0,12,0,1,9
Construction (NAICS 23 subtotal),2289,2015,1195,449,196,102,47,3,23,267,215,19,33,2,0,5
31-Manufacturing (NAICS 31 subtotal — Food/Bev/Textile/Apparel/Leather),1023,916,645,265,4,1,0,0,1,98,74,3,21,1,1,7
32-Manufacturing (NAICS 32 subtotal — Wood/Paper/Print/Petroleum/Chemical/Plastics/Nonmetallic Mineral),1517,1351,989,356,17,1,0,0,2,161,109,9,43,0,0,5
