Section/charge,Total proceedings,"Injunction proceedings / Pending in Court Oct. 01, 2008",Injunction proceedings / Filed in Court Fiscal Year 2009,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,"Pending in Appellate/District Court Sept. 30, 2009"
Under Sec. 10(e) total (Appellate Court),0,0,0,0,0,0,0,0,0
Under Sec. 10(j) total (District Court),27,4,23,23,8,5,8,2,4
8(a)(1),2,0,2,2,0,1,0,1,0
8(a)(1)(3),7,2,5,6,1,1,3,1,1
8(a)(1)(3)(5),7,2,5,6,2,2,2,0,1
8(a)(1)(5),11,0,11,9,5,1,3,0,2
Under Sec. 10(l) total,4,0,4,4,1,1,2,1,0
8(b)(4)(A) & 8(b)(4)(B),1,0,1,1,0,0,0,1,0
8(b)(4)(B),1,0,1,1,0,1,0,0,0
8(b)(4)(D),2,0,2,2,1,0,1,0,0
