Type of election,All R elections — Total elections,All R elections — Withdrawn or-dismissed before a rerun or runoff,All R elections — Resulting in a rerun in certification or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or-dismissed,RC elections — Resulting in rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or-dismissed,RM elections — Resulting in rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or-dismissed,RD elections — Resulting in rerun or runoff,RD elections — Resulting in certification
All representation elections,3190,94,65,3031,2781,91,60,2630,46,1,2,43,363,2,3,358
Consent elections,4,1,0,3,4,1,0,3,0,0,0,0,0,0,0,0
Stipulated elections,2613,56,37,2520,2258,53,34,2171,37,1,1,35,318,2,2,314
Regional Director-directed,571,37,28,506,519,37,26,456,7,0,1,6,45,0,1,44
Board-directed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expedited: Sec. 8(b)(7)(C),2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
