Standard Federal Regions / State,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Connecticut,105,49,24,11,5,1,56,6378,5773,2456,1628,400,154,274,3397,1617
Maine,39,12,9,2,0,1,27,2037,1898,798,665,133,0,0,1100,348
Massachusetts,263,131,61,59,5,9,129,15113,13628,5331,3647,1250,76,348,7597,4852
Region I — Total,479,219,110,86,7,16,251,26241,23593,9916,6782,1929,440,765,13677,8113
Region II — Total (NY+NJ+PR+VI),1090,603,277,171,32,118,493,52375,46068,25749,9476,4066,5890,4329,21961,29274
Region III — Total (DE/MD/DC/PA/VA/WV),1024,511,297,163,31,20,513,62998,56330,28285,19675,5393,2132,2201,27964,24684
Region IV — Total (AL/FL/GA/KY/MS/NC/SC/TN),1059,512,330,133,21,28,547,114756,102871,51190,38995,4634,4690,1684,51170,47709
