Participating unions,Total elections,Per cent of total valid votes,Elections won by union — Total,Elections won by union — AFL-CIO unions,Elections won by union — Teamsters,Elections won by union — Other national unions,Elections won by union — Other local unions,Elections won by union — No union,Eligible to vote — Total,Eligible to vote — AFL-CIO,Eligible to vote — Teamsters,Eligible to vote — Other national,Eligible to vote — Other local,Eligible to vote — No union,Total valid votes cast
1-union elections — AFL-CIO,2116,64.2,978,978,,,,1138,144541,,,,,,131950
1-union elections — Teamsters,503,22.7,95,,95,,,408,33373,,,,,,30465
1-union elections — Other national unions,405,55.8,53,,,53,,352,,,,,,,
1-union elections — Other local unions,405,53.8,78,,,,78,327,,,,,,,
1-union elections TOTAL,3442,61.7,1225,,,,,2217,,,,,,,
2-union elections TOTAL,131,85.4,129,,,,,22,,,,,,,
3-union elections TOTAL,6,100.0,6,,,,,0,,,,,,,
Total representation elections,3599,,,,,,,,,,,,,,
