Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,10218,100.0,8853,100.0,763,100 0,602,100.0
Before issuance of notice of hearing,5099,49 9,4299,48.5,462,60 6,338,56 1
"After issuance of notice of hearing, before opening of hearing",2256,22.1,2026,22.9,129,16 9,101,16.8
"After hearing opened, before issuance of Board decision",448,4 4,395,4 5,29,3 8,24,4.0
After issuance of Board decision,2415,23 6,2133,24 1,143,18.7,139,23.1
