row_label,Size of establishment (number of employees),Total / Total number of situations,Total / Cumulative percent of all situations,CA / Number of situations,CA / Percent of all in size class,CB / Number of situations,CB / Percent of all in size class,CC / Number of situations,CC / Percent of all in size class,CD / Number of situations,CD / Percent of all in size class,CE / Number of situations,CE / Percent of all in size class,CP / Number of situations,CP / Percent of all in size class,CA-CB combinations / Number of situations,CA-CB combinations / Percent of all in size class,Other C combinations / Number of situations,Other C combinations / Percent of all in size class
Total,39407,100.0,19090,100.0,3650,100.0,1377,100.0,634,100.0,39,100.0,384,100.0,1376,100.0,268,100.0,
"Size-class detail rows (Under 10 through 5,000 and over) — dense small-font tabulation, individual cells captured with parse_uncertainty='dense' aggregate level only",,,,,,,,,,,,,,,,,,,
