Union affiliation,Elections participated in / Total,Elections participated in / Won,Elections participated in / Percent won,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Number,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,4663,3060,65.6,511430,343092,67.1,449673,87.9,314701,70.0
A.F.L.,3309,1925,58.2,305266,136587,44.7,266999,87.5,128100,48.0
C.I.O.,1487,780,52.5,289945,117473,40.6,259092,89.5,118138,45.6
Unaffiliated,554,355,64.1,142710,89032,62.4,121311,85.0,68463,56.4
