Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"33-CC-00, CD-27","Carpenters, Local 1319, and Hod Carriers, Local 16, et al. (Sproul Homes, Inc.)","Mar. 2, 1959",10 (l),,,"Mar. 3, 1959",,,"May 28, 1959"
7-CC-31,"Steel Workers, Local 2652 (Central Metal Packing Corp.)","Mar. 2, 1959",10 (l),,,,,,Settled
9-CC-22,"Carpenters, Local 503, and Knight Bagley, business agent (Endicott Furniture Co.)","Mar. 2, 1959",10 (l),,,,,,Do.
Additional case rows present,,,,,,,,,
