Region,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC
Region I (partial),,,,,,,,,,,,,,,
Region X (partial),,,,,,,,,,,,,,,
"Total, all Federal regions",49335,33544,23496,8007,1819,446,,,,14189,11846,888,1457,,
