Industrial group,Total elections,Number of elections in which representation rights were won by unions Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Valid votes for no union,Employees in elections choosing representation
Mining,115,82,49,10,23,0,33,7372,6971,4364,2434,308,1411,211,2507,5220
Mining,,,,,,,,,,,,,,,,
Construction,228,154,54,63,33,4,73,8156,6257,4520,4009,74,204,179,1737,6427
Wholesale trade,894,528,184,267,30,21,366,29920,23623,13353,5131,6930,294,298,10444,16453
Retail trade,912,509,287,172,26,24,393,37051,30247,15313,9610,4304,999,400,12484,19418
"Finance, insurance, and real estate",44,20,17,2,0,1,19,1910,1049,953,615,281,,,496,12121
"Transportation, communication, and other utilities",864,578,309,245,14,10,286,47939,35322,26840,18563,5137,2296,844,12482,37401
Transportation,,,,,,,,,,,,,,,,
Services,469,240,184,33,21,12,229,16591,20786,17990,13558,6801,2278,1051,7353,12753
Services,,,,,,,,,,,,,,,,
