Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
"Total, all States and areas",28993,15993,10902,2869,1206,486,90,380,12620,10820,1149,651,73,124,179
New England,1432,742,528,108,63,26,4,13,690,608,52,30,5,7,8
New England state,,,,,,,,,,,,,,,
Middle Atlantic,5723,3324,2178,657,194,95,12,85,2311,1980,214,117,43,17,26
MA state,,,,,,,,,,,,,,,
East North Central,5907,3121,2133,604,193,104,13,74,2709,2373,230,106,,30,47
ENC state,,,,,,,,,,,,,,,
West North Central,2113,1036,696,142,116,30,20,25,1052,922,74,56,9,5,12
WNC state,,,,,,,,,,,,,,,
