row_label,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in unions winning representation
South Atlantic (regional subtotal),497,176,114,40,7,15,291,46779,41094,16591,11718,2114,907,1852,24412,10026
East South Central (regional subtotal),261,92,51,31,5,5,169,19034,17554,8289,5404,1866,322,1197,9265,6048
West South Central (regional subtotal),255,100,68,22,1,9,154,17535,15774,6825,5968,1122,62,273,8949,5084
Mountain (regional subtotal),276,122,78,31,3,10,154,13023,11266,5336,3058,1214,128,936,5930,5427
