Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed by method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Adopting trial examiner's decision (no exceptions filed),54,0.4,34,0.4,12,0.5,5,0.4,,,3,3.5,,
Circuit court of appeals decree,302,1.9,227,2.3,44,1.6,21,1.7,,,1,1.2,9,2.4
Supreme Court action,45,0.2,23,0.2,2,0.1,7,0.6,,,,,,
Withdrawal,5824,37.2,4008,38.6,1127,40.5,406,33.3,,,24,27.9,140,37.7
Withdrawal,,,,,,,,,,,,,,
Dismissal,4424,28.4,3020,28.4,1041,37.4,213,17.5,2,0.4,35,41.9,112,30.2
Dismissal,,,,,,,,,,,,,,
10(k) actions (see table 7A for details of disposition),470,3.0,,,,,,,470,97.3,,,,
"Others (e.g., compliance with order of trial examiner or Board not achieved—firms out of business)",,,,,,,,,,,,,,
