row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine,10,5,4,1,0,5,544,496,232,141,91,o,264,168
New Hampshire,3,1,1,0,0,2,256,233,98,98,0,0,135,160
Vermont,7,5,4,1,0,2,119,116,71,46,25,o,45,89
Macviehusetts,81,43,41,2,0,38,3549,3383,1694,1459,235,0,1689,1833
Rhode Island,12,8,8,0,o,4,924,876,465,441,24,0,411,655
Connecticut,51,20,18,o,2,31,2532,2249,1007,789,19,199,1242,924
New England,164,82,76,4,2,82,7924,7353,3567,2974,394,199,3786,3829
New York,304,170,145,5,20,134,19483,15731,8145,6952,214,979,7586,8410
New Jersey,157,68,53,3,12,89,7502,6176,2696,2046,154,496 701,3480,2574
Pennsylvania,215,91,74,6,11,124,12999,11322,5377,4390,286,,5945,5505
Middle Atlantic,676,329,272,14,43,347,39984,33229,16218,13388,654,2176,17011,16509
Ohio,195,83,79,4,0,112,15311,13690,6140,5989,135 29,16 108,"7,550 3,957","4,634 2,100"
Indiana,90,34,32,2,o,56,7511,"6,936 8,914",2979,2842,114,136,4646,
Illinois,187,85,78,2,5,102,9939,,4268,4018,,543,,3413
Michigan,208,89,86,0,3,119,15006,13186,6562,5986,33,,6624,6016
Wisconsin,82,32,29,3,0,50,4844,4396,2130,1872,250,8,2266,1706
East North Central,762,323,304,11,8,439,52611,47122,22079,20707,561,811,25043,17869
Iowa,35,15,14,1,o,20,1733,1512,621,610,11,0,891,499
Minnesota Missouri,80 123,34 49,29 46,1 o,4 3,46 74,"4,719 6,054","4,037 5,185","1,838 1,867","1,737 1,760",31 9,70 98,"2,199 3,318","1,233 1,215"
,7,5,5,0,o,2,78,69,32,32,0,0,37,33
North Dakota,,,,,,,,,,,,,,
South Dakota,6,3,2,0,1,3,178,172,68,61,o,7,104,22
Nebraska,"',10",4,4,o,0,6,2204,1958,963,963,0,o,995,1845
Kansas,29,13,12,0,1,16,6352,5300,4495,2718,0,1777,805,5910
West North Central,290,123,112,2,9,167,21318,18233,9884,7881,51,1952,8349,10757
