Division and State²,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
South Atlantic (division total),4413,3953,3277,623,23,3,4,1,2,456,385,11,60,1,1,22
East South Central (division total),2052,1821,1534,278,4,2,0,1,2,221,175,7,39,5,0,5
West South Central (division total),1918,1708,1358,343,3,0,2,0,2,204,150,9,45,2,2,2
Mountain (division total),2370,2048,1720,301,16,5,2,0,2,304,237,7,60,1,1,1
