Participating unions,Total elections,Elections won by unions — Percent won,Elections won by unions — Total won,Elections won by unions — AFL-CIO unions,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won by unions,Employees eligible to vote — In units won by — AFL-CIO unions,Employees eligible to vote — In units won by — Other national unions,Employees eligible to vote — In units won by — Other local unions,Employees eligible to vote — In elections where no representative chosen
A. All representation elections — AFL-CIO,2665,49.3,1314,1306,8,,1351,201520,76082,73479,2603,,125438
A. — Other national unions,121,61.2,74,,74,,47,13027,8836,,4191,,4643
A. — Other local unions,118,61.0,72,,,72,46,5777,1446,,,4330,4331
A. 1-union elections total,2904,50.3,1460,1306,80,74,1444,220070,84603,73479,6933,4191,135467
A. Total representation elections,3076,51.7,1591,1414,89,88,1485,234225,95408,81324,8066,6018,138817
B. Elections in RC cases — AFL-CIO,2296,52.1,1197,1190,7,,1099,175848,61980,61813,167,,113868
B. 1-union elections (RC) total,2508,53.1,1332,1190,76,66,1176,192208,69332,61813,4073,3436,122886
