Industrial group,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop authorization cases
Total,21632,4472,996,275,66,8206,699,374,6544
Manufacturing,13498,2760,417,95,12,5188,497,265,4263
Ordnance and accessories,30,5,,,,11,1,1,12
Food and kindred products,2383,359,93,39,5,884,62,29,859
Tobacco manufactures,38,8,1,,,23,,0,6
Textile-mill products,365,170,18,2,,180,19,17,158
Apparel and other finished products made from fabrics and similar materials,620,225,35,9,1,170,24,9,146
Lumber and wood products,680,145,14,7,1,253,13,18,235
Furniture and fixtures,571,124,18,4,0,184,12,16,203
Paper and allied products,385,62,13,0,0,164,12,8,126
"Printing, publishing, and allied industries",634,127,31,6,0,244,7,10,209
Chemicals and allied products,640,107,12,2,1,289,30,12,187
Products of petroleum and coal,250,70,10,8,0,108,12,7,42
Rubber products,144,49,5,0,0,64,1,3,31
Leather and leather products,207,79,12,1,0,100,6,1,108
"Stone, clay, and glass products",624,107,14,7,1,218,7,17,263
Primary metal industries,792,131,16,9,1,302,8,9,200
Fabricated metal products (except machinery and transportation equipment),1187,212,32,5,0,502,25,17,393
Machinery (except electrical),1238,251,27,2,0,487,37,30,404
"Electrical machinery, equipment, and supplies",926,139,12,2,0,392,194,16,171
Transportation equipment,608,110,18,3,0,268,7,22,180
Aircraft and parts,103,24,5,0,0,44,2,2,26
Ship and boat building and repairing,124,12,6,1,0,103,1,3,23
Automotive and other transportation equipment,381,74,7,2,0,121,4,17,126
"Professional, scientific, and controlling instruments",222,32,4,0,0,100,7,8,71
Miscellaneous manufacturing,668,201,25,4,0,238,28,9,169
"Agriculture, forestry, and fisheries",8,3,0,1,0,2,0,0,2
Mining,245,63,48,4,0,75,6,8,41
Metal mining,39,7,2,1,0,15,0,1,12
Coal mining,89,30,42,3,0,7,0,3,4
Crude petroleum and natural gas production,17,7,0,0,0,6,0,3,1
Nonmetallic mining and quarrying,100,19,4,0,0,47,6,0,24
Construction,774,247,226,48,37,138,3,1,64
Wholesale trade,1585,268,34,20,5,847,52,31,603
Retail trade,2170,400,79,26,1,937,75,23,623
"Finance, insurance, and real estate",105,39,3,0,0,37,4,1,21
"Transportation, communication, and other public utilities",2217,479,119,59,9,744,54,39,714
Highway passenger transportation,292,78,14,0,0,139,20,2,39
Highway freight transportation,680,108,42,37,1,197,21,3,272
Water transportation,238,70,40,14,3,65,7,3,36
Warehousing and storage,200,27,11,7,2,90,5,5,102
Other transportation,55,20,2,1,0,21,1,2,22
Communication,459,137,7,1,1,151,10,8,144
"Heat, light, power, water, and sanitary services",233,39,3,1,1,91,3,14,81
Services,729,187,60,15,4,238,6,5,213
