row_label,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under sec. 8(a),,
Subsections of sec. 8(a),,
Total cases,26105,100.0
8(a)(1),3624,13.9
8(a)(1)(2),313,1.2
8(a)(2),13238,50.6
8(a)(2)(3),186,0.7
8(a)(3),5140,19.7
8(a)(3)(4),275,1.1
8(a)(4),8,
8(a)(5),136,0.5
8(a)(1)(2),604,2.3
8(a)(1)(2)(3),2276,8.7
8(a)(1)(2)(4),19,0.1
8(a)(1)(2)(5),17,0.1
8(a)(1)(2)(3)(4),190,0.7
8(a)(1)(2)(3)(5),72,0.3
8(a)(1)(2)(3)(4)(5),25,0.1
8(a)(1),26105,100.0
8(a)(2),954,3.7
8(a)(3),16697,64.0
8(a)(4),531,2.0
8(a)(5),7848,30.1
B. Charges filed against unions under sec. 8(b),,
Subsections of sec. 8(b),,
Total cases,11553,100.0
8(b)(1),6329,55.0
8(b)(2),208,1.8
8(b)(3),581,5.0
8(b)(4),2128,18.5
8(b)(5),12,0.1
8(b)(6),20,0.2
8(b)(7),449,3.9
8(b)(1)(2),1455,12.6
8(b)(1)(3),237,2.1
8(b)(1)(4),11,0.1
8(b)(1)(6),10,0.1
8(b)(1)(7),21,0.2
8(b)(2)(3),3,
8(b)(2)(4),1,
8(b)(3)(4),1,
8(b)(1)(2)(3),50,0.4
8(b)(1)(2)(4),5,
8(b)(1)(3)(4),3,
8(b)(1)(2)(3)(4),3,
8(b)(1),8109,70.3
8(b)(2),1749,15.2
8(b)(3),900,7.8
8(b)(4),2128,18.5
8(b)(5),38,0.1
8(b)(6),37,0.3
8(b)(7),449,3.9
B1 Analysis of 8(b)(4),,
Total cases 8(b)(4),2128,100.0
8(b)(4)(A),82,3.9
8(b)(4)(B),1508,71.1
8(b)(4)(C),7,0.3
8(b)(4)(A)(B),391,18.4
8(b)(4)(A)(C),26,1.2
8(b)(4)(B)(C),2,0.1
8(b)(4)(A)(B)(C),21,1.0
8(b)(4)(A),131,6.2
8(b)(4)(B),1646,77.3
8(b)(4)(C),56,2.6
8(b)(4)(D),391,18.4
B2 Analysis of 8(b)(7),,
Total cases 8(b)(7),449,100.0
8(b)(7)(A),81,18.0
8(b)(7)(B),23,5.1
8(b)(7)(C),344,76.7
8(b)(7)(B)(C),1,
8(b)(7)(A),82,18.3
8(b)(7)(B),23,5.1
8(b)(7)(C),345,76.8
C. Charges filed under sec. 8(e),,
Total cases 8(e),122,100.0
Against unions alone,118,96.8
Against employers alone,2,1.6
Against unions and employers,2,1.6
D. Charges filed under sec. 8(g),,
Total cases 8(g),12,100.0
