row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Teamsters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Votes for no union
A. All representation elections,,,,,,,,,,,,,,
1-union elections (Total),367156,81229,53227,14492,7171,6339,30745,81494,55178,15373,6729,4214,156228,
2-union elections (Total),47432,26998,11505,6839,7711,1363,1894,6756,4280,1709,385,382,11704,
"Detail rows (AFL-CIO, Teamsters, Other national unions, Other local unions, AFL-CIO v. AFL-CIO, AFL-CIO v. Teamsters, etc.)",,,,,,,,,,,,,,
