Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",12116,100.0,10292,100.0,1058,100.0,766,100.0,171,100.0
"Certification issued, total",8202,67.7,7387,71.8,535,50.6,189,24.7,91,53.5
After consent election,2289,18.9,2042,19.8,152,14.4,95,12.4,19,11.2
Consent election stage,,,,,,,,,,
Stipulated election,4241,35.2,3857,37.5,273,20.4,125,16.3,19,11.2
Stipulated election stage,,,,,,,,,,
Expedited election,39,0.3,12,0.1,27,2.6,0,,,
Regional director-directed election,1528,12.6,1399,13.5,29,2.6,47,6.1,53,54.7
Board-directed election,85,0.7,77,0.5,1,0.1,7,0.9,0,
"By withdrawal, total",2906,24.0,2295,22.2,346,32.7,275,35.9,62,36.5
Withdrawal stage,,,,,,,,,,
"By dismissal, total",1005,8.3,620,6.0,177,16.7,211,27.5,17,10.0
Dismissal stage,,,,,,,,,,
