Case stage and type,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"RC cases — Pending October 1, 1990",2335,1535,517,83,199,1,0
RC cases — Received fiscal 1991,4902,3010,1410,193,289,0,0
RC cases — On docket fiscal 1991,7237,4545,1927,276,488,1,0
RC cases — Closed fiscal 1991,4834,3003,1361,177,293,0,0
"RC cases — Pending September 30, 1991",2403,1542,566,99,195,1,0
"RM cases — Pending October 1, 1990",172,,,,,,172
RM cases — Received fiscal 1991,260,,,,,,260
RM cases — On docket fiscal 1991,432,,,,,,432
RM cases — Closed fiscal 1991,304,,,,,,304
"RM cases — Pending September 30, 1991",128,,,,,,128
"RD cases — Pending October 1, 1990",447,2,0,1,2,442,
RD cases — Received fiscal 1991,1061,0,0,0,0,1061,
RD cases — On docket fiscal 1991,1508,2,0,1,2,1503,
RD cases — Closed fiscal 1991,1097,0,0,0,0,1097,
"RD cases — Pending September 30, 1991",411,2,0,1,2,406,
