row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,561,41,520,460,88.5,60,11.5
By type of case: RC cases,492,37,455,406,89.2,49,10.8
By type of case: RM cases,10,3,7,0,,7,100.0
By type of case: RD cases,59,1,58,54,93.1,4,6.9
By type of election: Consent elections,5,0,5,5,100.0,0,
By type of election: Stipulated elections,360,29,331,286,86.4,45,13.6
By type of election: Expedited elections,4,4,0,0,,0,
By type of election: Regional Director-directed elections,190,8,182,168,92.3,14,7.7
By type of election: Board-directed elections,2,0,2,1,50.0,1,50.0
