Union affiliation,Elections in which union participated / Number,Elections in which union participated / Number of eligible voters,Elections in which union participated / Number of valid votes cast,Elections won by union / Number,Elections won by union / Percent of elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total votes in elections in which union participated
A. F. of L.,2373,510566,414742,1620,68.3,215453,51.9
C. I. O.,2673,752211,624642,1898,71.0,350295,56.1
Unaffiliated,878,337326,276347,560,63.8,140821,51.0
