row_label,Total FY 1979,Total FY 1974-1978,Affirmed in full — FY1979 Number,Affirmed in full — FY1979 Percent,Affirmed in full — Cumulative FY1974-1978 Number,Affirmed in full — Cumulative FY1974-1978 Percent,Modified — FY1979 Number,Modified — FY1979 Percent,Modified — Cumulative FY1974-1978 Number,Modified — Cumulative FY1974-1978 Percent,Remanded in full — FY1979 Number,Remanded in full — FY1979 Percent,Remanded in full — Cumulative FY1974-1978 Number,Remanded in full — Cumulative FY1974-1978 Percent,Affirmed in part and remanded in part — FY1979 Number,Affirmed in part and remanded in part — FY1979 Percent,Affirmed in part and remanded in part — Cumulative FY1974-1978 Number,Affirmed in part and remanded in part — Cumulative FY1974-1978 Percent,Set aside — FY1979 Number,Set aside — FY1979 Percent,Set aside — Cumulative FY1974-1978 Number,Set aside — Cumulative FY1974-1978 Percent
Total all circuits,361,1458,233,64.6,1033,70.9,35,9.7,155,10.6,20,5.5,63,4.3,11,3.0,29,2.0,62,17.2,178,12.2
"Boston, Mass.",23,67,18,78.3,48,71.6,1,4.4,5,7.5,,,,,,,,,,,,
"New York, N.Y.",29,120,15,44.8,78,65.0,8,27.6,17,12.9,,,,,,,,,,,,
