Object class / Expense category,Amount (USD)
Salaries,6634670
Travel,674395
Transportation of things,13544
Communication services,214182
Rents and utility services,397914
Printing and reproduction,243253
Other contractual services,85543
Services performed by other agencies,4521
Supplies and materials,99450
Equipment,41799
"Refunds, awards, and indemnities",420
Taxes and assessments,3970
"Grand total, obligations and expenditures for salaries and expenses",8413661
