Expenditure category,Amount
Salaries,6538918
Travel,581968
Transportation of things,21889
Communication services,242000
Rents and utility services,365353
Printing and reproduction,291137
Other contractual services,151169
Supplies and materials,120234
Equipment,143085
"Grand total, obligations and expenditures for salaries and expenses",8455753
