Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed
"After Board decision, before court decree",258,4.3,204,4.4,34,3.2,10,4.9,0,0
Compliance,132,2.2,106,2.3,20,1.9,7,3.4,0,0
Withdrawn,,,,,,,,,0,0
Dismissed,116,1.8,88,1.9,11,1.2,3,1.5,0,0
After Board order adopting intermediate report followed by circuit court decree: Compliance,3,.1,3,.1,0,0,0,0,0,0
"After circuit court decree, before Supreme Court action",155,2.6,129,2.8,17,1.6,2,1.0,0,0
Compliance,99,1.7,83,1.8,13,1.3,1,.5,0,0
Dismissed,,,,,,,,,0,0
Otherwise,,,,,,,,,0,0
After Supreme Court denied writ of certiorari,22,.4,16,.3,3,.3,0,0,0,0
Compliance,20,.4,15,.3,3,.2,0,0,0,0
Withdrawn,1,(1),1,(1),0,0,0,0,0,0
Dismissed,1,(1),,,0,0,0,0,0,0
After Supreme Court opinion,5,.1,4,.1,0,0,0,0,0,0
Compliance,4,.1,4,.1,0,0,0,0,0,0
Otherwise (or Withdrawn),1,(1),,,0,0,0,0,0,0
